"meth.variation","V1"
0.104709133838315,"cg11738485"
0.092629136082093,"cg00944631"
0.0848854396049584,"cg04131969"
0.0766444257418801,"cg02113055"
0.0751148589913076,"cg08055132"
0.0746952971566601,"cg08103988"
0.0746290667428349,"cg03526459"
0.0746038926191649,"cg01201512"
0.0743124485970574,"cg26536949"
0.0736444386381704,"cg06417478"
0.0714159596596376,"cg27586797"
0.0712921723954652,"cg05528899"
0.0696465302420575,"cg17509989"
0.0692140622289873,"cg18391209"
0.0685974759422468,"cg21139150"
0.068585439270459,"cg24851651"
0.0684147675801329,"cg12036633"
0.0677408997543561,"cg22588144"
0.0668085318060996,"cg08331829"
0.066244341530712,"cg13064658"
0.064618528777438,"cg01778345"
0.0626219986184503,"cg17404449"
0.0623902531335947,"cg03329597"
0.0620045285975943,"cg24506221"
0.0617432044695755,"cg01156747"
0.0607536289094906,"cg04683516"
0.0605598175447295,"cg03226844"
0.0602671819658902,"cg08477332"
0.0593540051732566,"cg07249765"
0.0589315633556245,"cg23804921"
0.0583472588714376,"cg04798314"
0.0581304486977917,"cg05875700"
0.0578863097754826,"cg04657146"
0.0576613863965334,"cg24634471"
0.0575616859873268,"cg00274640"
0.0566808266850922,"cg08779649"
0.056429291321455,"cg19214707"
0.0561351315339118,"cg21358336"
0.0557099379193733,"cg26354017"
0.0555324092396916,"cg00456343"
0.0544970666077159,"cg23899408"
0.0539295659454727,"cg06223162"
0.0539239904003308,"cg26035071"
0.0535678055441445,"cg03651054"
0.053555878128509,"cg19611616"
0.0534371238722332,"cg25755428"
0.052982240770202,"cg06406458"
0.0526074916197905,"cg14159672"
0.0519633049237215,"cg11965913"
0.0518949551122143,"cg16006841"
0.0508039509989177,"cg18110333"
0.0507875027214815,"cg13862711"
0.0504490321738436,"cg16814680"
0.0503206128496791,"cg01153376"
0.049418883118261,"cg04090468"
0.0486149775550463,"cg09352518"
0.0482387318348451,"cg24686902"
0.0479757261135033,"cg17178900"
0.0477768231331864,"cg14856563"
0.0463085420389059,"cg11424828"
0.0463029319744104,"cg17294865"
0.045987483789549,"cg14911689"
0.0458663774175647,"cg26654770"
0.0458654354567777,"cg24503407"
0.0458500862833153,"cg15982117"
0.0453557723232361,"cg04546413"
0.0452711223256187,"cg15668967"
0.0447691700957735,"cg08750459"
0.0432134518565374,"cg13944838"
0.0430180524225297,"cg14893161"
0.0426621978933799,"cg06675417"
0.0426440677233982,"cg20485607"
0.0425605280118474,"cg09549987"
0.0422692422177267,"cg04282082"
0.0419083992047351,"cg24853868"
0.0417815613226816,"cg15652532"
0.0415530915615093,"cg22459517"
0.0413986120568787,"cg26764761"
0.0413830369121657,"cg06060754"
0.0410057608018507,"cg06864789"
0.0409582357918865,"cg05995465"
0.0409351103795536,"cg18105134"
0.0408846947443454,"cg07796016"
0.040795874771466,"cg24088508"
0.0405967447753248,"cg00028022"
0.0404346032889356,"cg08265274"
0.0402907993026156,"cg01483656"
0.0400471682071666,"cg16474696"
0.0400258782604767,"cg14227325"
0.0398356457648533,"cg02891314"
0.0393444940651175,"cg12031275"
0.0393300415802037,"cg10596483"
0.0392750546920685,"cg04248279"
0.0392504726367429,"cg21594961"
0.0392307095066224,"cg07167872"
0.0392299826597596,"cg25340688"
0.0389245854361304,"cg24796644"
0.0387287043659368,"cg26328633"
0.0387281681571237,"cg01097406"
0.0386020954812366,"cg03188948"
0.0384055887042296,"cg07134666"
0.0382957584024112,"cg26220594"
0.0380440072711699,"cg08269402"
0.037899254800595,"cg05280794"
0.0377547613584984,"cg11247378"
0.0373477533980779,"cg11012412"
0.0372269146133621,"cg22968622"
0.0371461245691741,"cg07314988"
0.0371336777169146,"cg10296238"
0.0368421194207603,"cg17052675"
0.036166880298759,"cg15019001"
0.0359935590490938,"cg08820231"
0.0358271386065368,"cg23758822"
0.0357672227159861,"cg26882525"
0.0355355205412771,"cg06536614"
0.0353638526537639,"cg05896524"
0.0353110300008213,"cg19637330"
0.0352108027770552,"cg16744531"
0.0350791323357471,"cg19754622"
0.0350352890116315,"cg23248424"
0.0349190909420798,"cg18402987"
0.034851863724003,"cg14168080"
0.034810153825979,"cg21548813"
0.0346969228847324,"cg10568066"
0.0346861114250218,"cg04955116"
0.0346571746185069,"cg07157030"
0.0346228826207693,"cg01324343"
0.0345814150155866,"cg13835168"
0.0345331070181174,"cg03938978"
0.0344770346595024,"cg17221813"
0.0343912073938474,"cg13830619"
0.0342584329607908,"cg15570656"
0.0342369552149011,"cg03738707"
0.0342143657249069,"cg23649088"
